History Index - RR,R-R Interval(ms) - RR,
1788,848.958,70.67487438
1789,844.401,71.05628724
1790,837.891,71.60835956
1791,840.495,71.38650438
1792,842.448,71.22101305
1793,830.078,72.28236383
1794,819.661,73.20099407
1795,821.615,73.02690433
1796,815.755,73.55149524
1797,809.245,74.14318284
1798,811.849,73.9053691
1799,820.312,73.14290173
1800,815.104,73.61023869
1801,809.245,74.14318284
1802,809.896,74.08358604
1803,803.385,74.68399335
1804,786.458,76.29142306
1805,777.344,77.18590482
1806,779.297,76.99246885
1807,781.25,76.8
1808,772.786,77.6411581
1809,767.578,78.16795166
1810,772.135,77.70661866
1811,783.203,76.60849103
1812,787.76,76.16532954
1813,793.62,75.60293339
1814,813.151,73.7870334
1815,826.823,72.56692182
1816,832.682,72.05631922
1817,825.521,72.68137334
1818,827.474,72.50983112
1819,813.802,73.72800755
1820,798.828,75.1100362
1821,788.411,76.10243896
1822,783.203,76.60849103
1823,772.786,77.6411581
1824,757.812,79.17530997
1825,753.255,79.65430034
1826,756.51,79.31157552
1827,754.557,79.51685559
1828,753.906,79.58551862
1829,769.531,77.96956848
1830,789.062,76.03965214
1831,800.781,74.92685266
1832,805.339,74.50278703
1833,819.661,73.20099407
1834,826.172,72.62410249
1835,818.359,73.31745603
1836,811.198,73.9646794
1837,820.964,73.08481249
1838,828.125,72.45283019
1839,820.312,73.14290173
1840,819.01,73.25917876
1841,824.219,72.79618645
1842,828.776,72.3959188
1843,817.708,73.37582609
1844,809.245,74.14318284
1845,815.755,73.55149524
1846,820.312,73.14290173
1847,820.312,73.14290173
1848,808.594,74.20287561
1849,805.339,74.50278703
1850,796.875,75.29411765
1851,779.948,76.92820547
1852,772.786,77.6411581
1853,776.693,77.25059966
1854,776.693,77.25059966
1855,776.042,77.31540303
1856,774.74,77.4453365
1857,772.135,77.70661866
1858,792.318,75.72717015
1859,732.422,81.91998602
1860,729.167,82.28567667
1861,736.979,81.41344597
1862,739.583,81.12679713
1863,751.953,79.79222106
1864,732.422,81.91998602
1865,775.391,77.38031522
1866,777.344,77.18590482
1867,770.182,77.90366433
1868,767.578,78.16795166
1869,755.208,79.44831093
1870,744.141,80.62988063
1871,749.349,80.06950033
1872,761.068,78.83658228
1873,763.672,78.56776208
1874,768.229,78.10171186
1875,778.646,77.05683969
1876,795.573,75.41734071
1877,798.177,75.17129659
1878,789.714,75.97687264
1879,794.271,75.54096776
1880,807.943,74.26266457
1881,820.964,73.08481249
1882,813.802,73.72800755
1883,813.151,73.7870334
1884,813.802,73.72800755
1885,811.849,73.9053691
1886,794.922,75.47910361
1887,779.297,76.99246885
1888,774.74,77.4453365
1889,773.437,77.57580773
1890,767.578,78.16795166
1891,759.115,79.03940773
1892,767.578,78.16795166
1893,789.714,75.97687264
1894,812.5,73.84615385
1895,821.615,73.02690433
1896,822.917,72.91136287
1897,824.219,72.79618645
1898,819.01,73.25917876
1899,803.385,74.68399335
1900,786.458,76.29142306
1901,772.135,77.70661866
1902,776.042,77.31540303
1903,792.969,75.66500078
1904,811.198,73.9646794
1905,819.01,73.25917876
1906,838.542,71.55276659
1907,873.698,68.67361491
1908,885.417,67.76468037
1909,890.625,67.36842105
1910,896.484,66.92813257
1911,899.089,66.73421652
1912,878.906,68.26668608
1913,851.562,70.45875697
1914,844.401,71.05628724
1915,831.38,72.16916452
1916,804.687,74.56315313
1917,796.875,75.29411765
1918,819.01,73.25917876
1919,832.682,72.05631922
1920,830.729,72.22571982
1921,832.682,72.05631922
1922,840.495,71.38650438
1923,828.776,72.3959188
1924,798.177,75.17129659
1925,781.901,76.73605738
1926,785.807,76.35462652
1927,777.344,77.18590482
1928,779.297,76.99246885
1929,800.13,74.98781448
1930,813.802,73.72800755
1931,822.917,72.91136287
1932,827.474,72.50983112
1933,832.031,72.11269772
1934,830.078,72.28236383
1935,823.568,72.85372914
1936,821.615,73.02690433
1937,817.057,73.43428916
1938,816.406,73.49284547
1939,815.104,73.61023869
1940,818.359,73.31745603
1941,823.568,72.85372914
1942,824.219,72.79618645
1943,835.286,71.831684
1944,845.052,71.00154783
1945,850.911,70.51266231
1946,854.167,70.24387503
1947,851.562,70.45875697
1948,847.656,70.78343101
1949,837.24,71.66403899
1950,823.568,72.85372914
1951,820.312,73.14290173
1952,817.708,73.37582609
1953,827.474,72.50983112
1954,838.542,71.55276659
1955,841.797,71.2760915
1956,846.354,70.89232165
1957,858.724,69.87111109
1958,855.469,70.1369658
1959,830.078,72.28236383
1960,815.755,73.55149524
1961,813.151,73.7870334
1962,802.083,74.80522589
1963,788.411,76.10243896
1964,800.13,74.98781448
1965,816.406,73.49284547
1966,830.078,72.28236383
1967,843.75,71.11111111
1968,858.073,69.92412068
1969,865.234,69.34540252
1970,853.516,70.29745195
1971,843.75,71.11111111
1972,822.266,72.96908786
1973,791.667,75.78944177
1974,768.88,78.03558423
1975,750,80
1976,743.49,80.70048017
1977,751.302,79.86136068
1978,775.391,77.38031522
1979,796.224,75.3556788
1980,803.385,74.68399335
1981,811.198,73.9646794
1982,817.708,73.37582609
1983,826.172,72.62410249
1984,817.057,73.43428916
1985,816.406,73.49284547
1986,831.38,72.16916452
1987,839.844,71.4418392
1988,847.005,70.83783449
1989,846.354,70.89232165
1990,853.516,70.29745195
1991,859.375,69.81818182
1992,859.375,69.81818182
1993,859.375,69.81818182
1994,847.656,70.78343101
1995,833.984,71.94382626
1996,831.38,72.16916452
1997,815.755,73.55149524
1998,806.641,74.38253201
1999,809.245,74.14318284
2000,813.802,73.72800755
2001,822.266,72.96908786
