"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
"29",-89,NA,-70,NA,-82,NA,-95,-93,NA,NA,-54,-86,-89,-91,-91,NA,-91,-92,-71,-96,-91,NA,-90,NA,-91,-90,-96,NA,-80,-94,-91,NA,-92,-91,NA,-96
"30",-94,NA,-74,NA,-86,NA,-91,-93,NA,NA,-55,-89,-94,-89,-91,NA,-91,-93,-73,-96,-91,NA,-90,NA,-91,-90,-96,NA,-78,-88,-95,NA,-96,-91,NA,-96
"31",-94,NA,-74,NA,-85,NA,-91,-93,NA,NA,-55,-89,-94,-93,-90,NA,-91,-93,-73,-95,-91,NA,-91,NA,-87,-94,-95,NA,-78,-91,-95,NA,-96,-89,NA,-96
"32",-94,NA,-76,NA,-85,NA,-95,-91,NA,NA,-55,-89,-95,-93,-91,NA,-92,-88,-71,-92,-88,NA,-88,NA,-87,-94,-95,NA,-78,-90,-95,NA,-94,-89,NA,-96
"33",-94,NA,-72,NA,-83,NA,-92,-90,NA,NA,-49,-88,-92,-90,-90,NA,-92,-89,-77,-92,-88,NA,-89,NA,-93,-93,-100,NA,-78,-93,-92,NA,-93,NA,NA,-96
"34",-92,NA,-72,NA,-84,NA,-92,-90,NA,NA,-50,-92,-93,-92,-90,NA,-95,-89,-74,-90,-92,NA,-91,NA,-93,-93,-100,NA,-77,-95,-92,NA,-95,NA,NA,-93
"35",-92,NA,-64,NA,-84,NA,-92,-93,NA,NA,-62,-89,-94,-91,-84,NA,-94,-90,-72,-90,-92,NA,-91,NA,-95,-91,-100,NA,-78,-95,-97,NA,-95,NA,NA,-94
"36",-91,NA,-66,NA,-85,NA,-92,-93,NA,NA,-62,-85,-92,-92,-84,NA,-94,-90,-72,-90,-92,NA,-89,NA,-92,-91,-93,NA,-78,-95,-89,NA,-90,NA,NA,-94
"37",-91,NA,-64,NA,-84,NA,-93,-91,NA,NA,-61,-88,-92,-95,-90,NA,-94,-93,-75,-92,-91,NA,-90,NA,-92,-94,-96,NA,-78,-92,-89,NA,-90,NA,NA,-95
"38",-93,NA,-66,NA,-87,NA,-90,-94,NA,NA,-57,-88,-92,-92,-89,NA,-91,-93,-73,-88,-91,NA,-89,NA,-91,-94,-96,NA,-80,-92,-89,NA,-96,NA,NA,-91
"39",-97,NA,-64,NA,-87,NA,-90,-94,NA,NA,-52,-89,-93,-91,-87,NA,-91,-91,-72,-89,-94,NA,-92,NA,-88,-94,-94,NA,-81,-90,-94,NA,-96,NA,NA,-91
"40",-95,NA,-66,NA,-89,NA,-90,-94,NA,NA,-52,-89,-93,-93,-88,NA,-94,-94,-74,-87,-93,NA,-92,NA,-91,-94,-94,NA,-79,-95,-92,NA,-96,NA,NA,-91
"41",-90,NA,-66,NA,-89,NA,-90,-94,NA,NA,-52,-91,-89,-93,-92,NA,-94,-92,-74,-92,-93,NA,-91,NA,-91,-91,-97,NA,-80,-95,-92,NA,-96,NA,NA,-93
"42",-96,NA,-66,NA,-92,NA,-88,-92,NA,NA,-64,-89,-91,-93,-87,NA,-96,-87,-77,-92,-97,NA,-91,NA,-95,-91,-97,NA,-79,-95,-94,NA,NA,NA,NA,-92
"43",-92,NA,-68,NA,-87,NA,-91,-94,NA,NA,-51,-92,-93,-91,-87,NA,-90,-89,-78,-90,-94,NA,-90,NA,-91,-92,-95,NA,-80,-93,-93,NA,NA,NA,NA,-95
"44",-94,NA,-66,NA,-90,NA,-91,-94,NA,NA,-57,-92,-92,-91,-87,NA,-90,-88,-75,-90,-93,NA,-90,NA,-91,-95,-95,NA,-79,-92,-93,NA,NA,NA,NA,-96
"45",-93,NA,-64,NA,-90,NA,-93,-94,NA,NA,-59,-91,-93,-90,-87,NA,-93,-90,-77,-90,-90,NA,-92,NA,-92,-90,-96,NA,-78,-93,-96,NA,NA,NA,NA,-96
"46",-96,NA,-64,NA,-86,NA,-91,-91,NA,NA,-57,-88,-94,-93,-87,NA,-89,-89,-76,-91,-93,NA,-92,NA,-91,-90,-96,NA,-87,-93,-96,NA,NA,NA,NA,-97
"47",-96,NA,-65,NA,-86,NA,-93,-91,NA,NA,-54,-88,-92,-93,-90,NA,-87,-89,-73,-91,-93,NA,-92,NA,-88,NA,NA,NA,-84,-94,-92,NA,NA,NA,NA,-93
"48",-92,NA,-65,NA,-86,NA,-93,-93,NA,NA,-53,-88,-89,-93,-90,NA,-91,-87,-74,-89,-92,NA,-90,NA,-94,NA,NA,NA,-81,-97,-96,NA,NA,NA,NA,-93
"49",-92,NA,-67,NA,-86,NA,-92,-93,NA,NA,-52,-92,-91,-90,-93,NA,-90,-90,-71,-90,-94,NA,-90,NA,-91,NA,NA,NA,-83,-97,-96,NA,NA,NA,NA,-94
"50",-90,NA,-68,NA,-86,NA,-91,-91,NA,NA,-55,-92,-92,-90,-93,NA,-90,-89,-74,-89,-93,NA,-88,NA,-95,NA,NA,NA,-83,-94,NA,NA,NA,NA,NA,-88
"51",-96,NA,-67,NA,-90,NA,-90,-91,NA,NA,-48,-94,-92,-78,NA,NA,-89,-90,-72,-89,-94,NA,-88,NA,-95,NA,NA,NA,-81,-94,NA,NA,NA,NA,NA,-92
"52",-94,NA,-69,NA,-86,NA,-86,-91,NA,NA,-52,-92,-91,-91,NA,NA,-86,-87,-72,-89,-94,NA,-91,NA,-94,NA,NA,NA,-82,NA,NA,NA,NA,NA,NA,-92
"53",-94,NA,-68,NA,-86,NA,-92,-91,NA,NA,-50,-93,-92,-91,NA,NA,-88,-91,-73,-91,-94,NA,-92,NA,-92,NA,NA,NA,-79,NA,NA,NA,NA,NA,NA,-92
"54",-94,NA,-66,NA,-86,NA,-97,-91,NA,NA,-53,-93,-94,-90,NA,NA,-86,-88,-73,-91,-94,NA,-91,NA,-90,NA,NA,NA,-79,NA,NA,NA,NA,NA,NA,-94
"55",-94,NA,-65,NA,-85,NA,-97,-91,NA,NA,-49,-96,-94,-93,NA,NA,-88,-87,-74,-91,-94,NA,-91,NA,-90,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,-94
"56",-94,NA,-66,NA,-85,NA,-96,-90,NA,NA,-54,-96,-91,-93,NA,NA,-87,-87,-72,-89,-93,NA,-91,NA,-90,NA,NA,NA,-80,NA,NA,NA,NA,NA,NA,-91
"57",-93,NA,-66,NA,-86,NA,-94,-92,NA,NA,-54,-96,-92,-91,NA,NA,-87,-87,-74,-91,-93,NA,-89,NA,-89,NA,NA,NA,-79,NA,NA,NA,NA,NA,NA,-94
"58",-91,NA,-66,NA,-91,NA,-94,-92,NA,NA,-51,-94,-92,-90,NA,NA,-91,-88,-72,-89,NA,NA,-89,NA,-86,NA,NA,NA,-81,NA,NA,NA,NA,NA,NA,-94
"59",-90,NA,-65,NA,-91,NA,-97,-92,NA,NA,-53,-94,-89,-90,NA,NA,-92,-87,-71,-94,NA,NA,-89,NA,-86,NA,NA,NA,-83,NA,NA,NA,NA,NA,NA,-94
"60",-90,NA,-78,NA,-94,NA,NA,-92,NA,NA,-48,-96,-95,-89,NA,NA,-87,-89,-77,-97,NA,NA,-88,NA,-85,NA,NA,NA,-81,NA,NA,NA,NA,NA,NA,-94
"61",-96,NA,-73,NA,-94,NA,NA,-92,NA,NA,-48,-92,-91,-88,NA,NA,-90,-87,-66,-93,NA,NA,-91,NA,-83,NA,NA,NA,-83,NA,NA,NA,NA,NA,NA,-92
"62",-95,NA,-73,NA,-94,NA,NA,-91,NA,NA,-72,-95,-92,-88,NA,NA,-92,-88,-68,-93,NA,NA,-92,NA,-80,NA,NA,NA,-80,NA,NA,NA,NA,NA,NA,-96
"63",-95,NA,-72,NA,-92,NA,NA,-91,NA,NA,-66,-95,-90,-89,NA,NA,-89,-88,-74,-93,NA,NA,-90,NA,-83,NA,NA,NA,-80,NA,NA,NA,NA,NA,NA,-96
"64",-95,NA,-73,NA,-91,NA,NA,-94,NA,NA,-72,-92,-91,-91,NA,NA,-91,-93,-71,-96,NA,NA,-95,NA,-87,NA,NA,NA,-80,NA,NA,NA,NA,NA,NA,-96
"65",-96,NA,-73,NA,-93,NA,NA,-94,NA,NA,-71,-94,-93,-91,NA,NA,-89,-94,-70,-95,NA,NA,-95,NA,-79,NA,NA,NA,-79,NA,NA,NA,NA,NA,NA,-96
"66",-96,NA,-72,NA,-91,NA,NA,-92,NA,NA,-70,-93,-94,-92,NA,NA,-90,-94,-70,-95,NA,NA,-95,NA,-87,NA,NA,NA,-80,NA,NA,NA,NA,NA,NA,-96
"67",-93,NA,-73,NA,-92,NA,NA,-92,NA,NA,-69,-95,-94,-91,NA,NA,-89,-91,-69,-95,NA,NA,-95,NA,-83,NA,NA,NA,-82,NA,NA,NA,NA,NA,NA,-94
"68",-95,NA,-69,NA,-91,NA,NA,-90,NA,NA,-71,-92,-95,-95,NA,NA,-91,-91,-71,-92,NA,NA,-97,NA,-84,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,-91
"69",-95,NA,-71,NA,-94,NA,NA,-90,NA,NA,-67,-92,-92,-95,NA,NA,-92,-90,-73,-94,NA,NA,-97,NA,-82,NA,NA,NA,-82,NA,NA,NA,NA,NA,NA,-91
"70",-90,NA,-68,NA,-94,NA,NA,-90,NA,NA,-72,-92,-93,-96,NA,NA,-92,-90,-71,-94,NA,NA,-95,NA,-80,NA,NA,NA,-81,NA,NA,NA,NA,NA,NA,-96
"71",-94,NA,-71,NA,-94,NA,NA,-92,NA,NA,-66,-95,-94,-96,NA,NA,-94,-88,-70,-96,NA,NA,-94,NA,-82,NA,NA,NA,-81,NA,NA,NA,NA,NA,NA,-96
"72",-96,NA,-73,NA,-91,NA,NA,-98,NA,NA,-67,-95,-92,-94,NA,NA,-90,-92,-69,-91,NA,NA,-94,NA,-82,NA,NA,NA,-81,NA,NA,NA,NA,NA,NA,-94
"73",-96,NA,-70,NA,-93,NA,NA,-98,NA,NA,-65,-95,-92,-94,NA,NA,-92,-87,-70,-91,NA,NA,-93,NA,-80,NA,NA,NA,-79,NA,NA,NA,NA,NA,NA,-94
"74",-94,NA,-71,NA,-91,NA,NA,NA,NA,NA,-68,-95,-95,-95,NA,NA,-90,-87,-70,-92,NA,NA,-93,NA,-81,NA,NA,NA,-81,NA,NA,NA,NA,NA,NA,NA
"75",-93,NA,-72,NA,-91,NA,NA,NA,NA,NA,-65,-95,-91,-95,NA,NA,-90,-88,-69,-92,NA,NA,-95,NA,-88,NA,NA,NA,-82,NA,NA,NA,NA,NA,NA,NA
"76",-93,NA,-71,NA,-96,NA,NA,NA,NA,NA,-66,-92,-93,-95,NA,NA,-94,-88,-70,-91,NA,NA,-91,NA,-79,NA,NA,NA,-87,NA,NA,NA,NA,NA,NA,NA
"77",-86,NA,-69,NA,-94,NA,NA,NA,NA,NA,-65,-94,-91,-94,NA,NA,-94,-90,-70,-91,NA,NA,-93,NA,-83,NA,NA,NA,-91,NA,NA,NA,NA,NA,NA,NA
"78",-91,NA,-70,NA,-94,NA,NA,NA,NA,NA,-66,-96,-91,-96,NA,NA,-91,-90,-72,-96,NA,NA,-94,NA,-82,NA,NA,NA,-91,NA,NA,NA,NA,NA,NA,NA
"79",-92,NA,-71,NA,-94,NA,NA,NA,NA,NA,-65,-96,-90,-96,NA,NA,-90,-88,-70,-96,NA,NA,-92,NA,-79,NA,NA,NA,-94,NA,NA,NA,NA,NA,NA,NA
"80",-93,NA,-74,NA,-94,NA,NA,NA,NA,NA,-66,-96,-94,-88,NA,NA,-90,-88,-71,-95,NA,NA,-91,NA,-83,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA
"81",-92,NA,-74,NA,-96,NA,NA,NA,NA,NA,-67,-96,-90,-88,NA,NA,-90,-92,-72,-95,NA,NA,NA,NA,-84,NA,NA,NA,-94,NA,NA,NA,NA,NA,NA,NA
"82",-95,NA,-72,NA,NA,NA,NA,NA,NA,NA,-66,-98,-89,-93,NA,NA,-92,-94,-71,-95,NA,NA,NA,NA,-84,NA,NA,NA,-94,NA,NA,NA,NA,NA,NA,NA
"83",-95,NA,-74,NA,NA,NA,NA,NA,NA,NA,-68,-98,-89,-96,NA,NA,-93,-94,-69,-95,NA,NA,NA,NA,-87,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA
"84",-92,NA,-71,NA,NA,NA,NA,NA,NA,NA,-65,-95,-90,-96,NA,NA,-93,-92,-70,-93,NA,NA,NA,NA,-86,NA,NA,NA,-96,NA,NA,NA,NA,NA,NA,NA
"85",-92,NA,-74,NA,NA,NA,NA,NA,NA,NA,-69,-95,-91,-96,NA,NA,-92,-92,-73,-93,NA,NA,NA,NA,-84,NA,NA,NA,-96,NA,NA,NA,NA,NA,NA,NA
"86",-89,NA,-77,NA,NA,NA,NA,NA,NA,NA,-66,-96,-93,-96,NA,NA,-91,-92,-73,-96,NA,NA,NA,NA,-82,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA
"87",-94,NA,-74,NA,NA,NA,NA,NA,NA,NA,-65,-92,-93,-92,NA,NA,-91,-92,-73,-96,NA,NA,NA,NA,-84,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA
"88",-90,NA,-72,NA,NA,NA,NA,NA,NA,NA,-73,-92,-89,-92,NA,NA,-93,-95,-64,-97,NA,NA,NA,NA,-82,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA
"89",-94,NA,-73,NA,NA,NA,NA,NA,NA,NA,-65,-96,-91,-97,NA,NA,-93,-95,-72,-97,NA,NA,NA,NA,-82,NA,NA,NA,-93,NA,NA,NA,NA,NA,NA,NA
"90",-93,NA,-79,NA,NA,NA,NA,NA,NA,NA,-72,-85,-91,NA,NA,NA,-95,-94,-69,-97,NA,NA,NA,NA,-81,NA,NA,NA,-91,NA,NA,NA,NA,NA,NA,NA
"91",-93,NA,-70,NA,NA,NA,NA,NA,NA,NA,-68,-84,-90,NA,NA,NA,-88,-94,-72,-89,NA,NA,NA,NA,-84,NA,NA,NA,-91,NA,NA,NA,NA,NA,NA,NA
"92",-90,NA,-68,NA,NA,NA,NA,NA,NA,NA,-62,-84,-90,NA,NA,NA,-91,-94,-69,NA,NA,NA,NA,NA,-79,NA,NA,NA,-94,NA,NA,NA,NA,NA,NA,NA
"93",-93,NA,-70,NA,NA,NA,NA,NA,NA,NA,-62,-83,-92,NA,NA,NA,-91,-93,-68,NA,NA,NA,NA,NA,-81,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA
"94",-96,NA,-69,NA,NA,NA,NA,NA,NA,NA,-62,-84,-88,NA,NA,NA,-91,-93,-67,NA,NA,NA,NA,NA,-80,NA,NA,NA,-94,NA,NA,NA,NA,NA,NA,NA
"95",-96,NA,-69,NA,NA,NA,NA,NA,NA,NA,-63,-83,-88,NA,NA,NA,-93,-93,-66,NA,NA,NA,NA,NA,-85,NA,NA,NA,-93,NA,NA,NA,NA,NA,NA,NA
"96",-95,NA,-68,NA,NA,NA,NA,NA,NA,NA,-61,-85,-94,NA,NA,NA,-93,-91,-66,NA,NA,NA,NA,NA,-79,NA,NA,NA,-96,NA,NA,NA,NA,NA,NA,NA
"97",-95,NA,-71,NA,NA,NA,NA,NA,NA,NA,-61,-83,-93,NA,NA,NA,-91,-94,-67,NA,NA,NA,NA,NA,-80,NA,NA,NA,-97,NA,NA,NA,NA,NA,NA,NA
"98",-98,NA,-71,NA,NA,NA,NA,NA,NA,NA,-62,-84,-95,NA,NA,NA,-91,-93,-68,NA,NA,NA,NA,NA,-82,NA,NA,NA,-97,NA,NA,NA,NA,NA,NA,NA
"99",-95,NA,-71,NA,NA,NA,NA,NA,NA,NA,-62,-84,-93,NA,NA,NA,-93,-94,-67,NA,NA,NA,NA,NA,-82,NA,NA,NA,-94,NA,NA,NA,NA,NA,NA,NA
"100",-95,NA,-70,NA,NA,NA,NA,NA,NA,NA,-63,-87,-94,NA,NA,NA,-93,-90,-67,NA,NA,NA,NA,NA,-80,NA,NA,NA,-95,NA,NA,NA,NA,NA,NA,NA
"101",-89,NA,-68,NA,NA,NA,NA,NA,NA,NA,-61,-85,-94,NA,NA,NA,-92,-95,-68,NA,NA,NA,NA,NA,-83,NA,NA,NA,-95,NA,NA,NA,NA,NA,NA,NA
"102",-89,NA,-69,NA,NA,NA,NA,NA,NA,NA,-65,-87,-90,NA,NA,NA,-94,-92,-67,NA,NA,NA,NA,NA,-81,NA,NA,NA,-95,NA,NA,NA,NA,NA,NA,NA
"103",-90,NA,-72,NA,NA,NA,NA,NA,NA,NA,-65,-85,-90,NA,NA,NA,-91,-92,-65,NA,NA,NA,NA,NA,-85,NA,NA,NA,-91,NA,NA,NA,NA,NA,NA,NA
"104",-88,NA,-69,NA,NA,NA,NA,NA,NA,NA,-64,-82,-94,NA,NA,NA,-91,-92,-64,NA,NA,NA,NA,NA,-85,NA,NA,NA,-90,NA,NA,NA,NA,NA,NA,NA
"105",-88,NA,-70,NA,NA,NA,NA,NA,NA,NA,-63,-82,-93,NA,NA,NA,-91,-93,-64,NA,NA,NA,NA,NA,-84,NA,NA,NA,-98,NA,NA,NA,NA,NA,NA,NA
"106",-90,NA,-69,NA,NA,NA,NA,NA,NA,NA,-62,-84,-93,NA,NA,NA,-92,-93,-65,NA,NA,NA,NA,NA,-84,NA,NA,NA,-97,NA,NA,NA,NA,NA,NA,NA
"107",-83,NA,-68,NA,NA,NA,NA,NA,NA,NA,-65,-94,-93,NA,NA,NA,-94,-92,-70,NA,NA,NA,NA,NA,-81,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA
"108",-85,NA,-72,NA,NA,NA,NA,NA,NA,NA,-63,-94,-92,NA,NA,NA,-91,-92,-68,NA,NA,NA,NA,NA,-85,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA
"109",-85,NA,-72,NA,NA,NA,NA,NA,NA,NA,-63,-92,-92,NA,NA,NA,-94,-92,-68,NA,NA,NA,NA,NA,-85,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA
"110",-90,NA,-70,NA,NA,NA,NA,NA,NA,NA,-64,-92,-94,NA,NA,NA,-94,-93,-66,NA,NA,NA,NA,NA,-81,NA,NA,NA,-90,NA,NA,NA,NA,NA,NA,NA
"111",-91,NA,-66,NA,NA,NA,NA,NA,NA,NA,-64,-93,-94,NA,NA,NA,-94,-89,-66,NA,NA,NA,NA,NA,-86,NA,NA,NA,-90,NA,NA,NA,NA,NA,NA,NA
"112",-93,NA,-69,NA,NA,NA,NA,NA,NA,NA,-62,-94,-94,NA,NA,NA,-91,-92,-67,NA,NA,NA,NA,NA,-86,NA,NA,NA,-91,NA,NA,NA,NA,NA,NA,NA
"113",-93,NA,-68,NA,NA,NA,NA,NA,NA,NA,-67,-76,-94,NA,NA,NA,-91,-92,-64,NA,NA,NA,NA,NA,-87,NA,NA,NA,-94,NA,NA,NA,NA,NA,NA,NA
"114",-90,NA,-71,NA,NA,NA,NA,NA,NA,NA,-65,-76,-96,NA,NA,NA,-92,-90,-67,NA,NA,NA,NA,NA,-82,NA,NA,NA,-94,NA,NA,NA,NA,NA,NA,NA
"115",-87,NA,-66,NA,NA,NA,NA,NA,NA,NA,-69,-76,-92,NA,NA,NA,-92,-90,-66,NA,NA,NA,NA,NA,-83,NA,NA,NA,-94,NA,NA,NA,NA,NA,NA,NA
"116",-96,NA,-66,NA,NA,NA,NA,NA,NA,NA,-69,-76,-92,NA,NA,NA,-91,-91,-66,NA,NA,NA,NA,NA,-86,NA,NA,NA,-94,NA,NA,NA,NA,NA,NA,NA
"117",-96,NA,-67,NA,NA,NA,NA,NA,NA,NA,-67,-76,-95,NA,NA,NA,-97,-90,-67,NA,NA,NA,NA,NA,-88,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA
"118",-93,NA,-70,NA,NA,NA,NA,NA,NA,NA,-63,-77,-95,NA,NA,NA,-90,-88,-66,NA,NA,NA,NA,NA,-89,NA,NA,NA,-94,NA,NA,NA,NA,NA,NA,NA
"119",-93,NA,-67,NA,NA,NA,NA,NA,NA,NA,-67,-75,-93,NA,NA,NA,-91,-85,-67,NA,NA,NA,NA,NA,-85,NA,NA,NA,-94,NA,NA,NA,NA,NA,NA,NA
"120",-93,NA,-72,NA,NA,NA,NA,NA,NA,NA,-63,-76,-95,NA,NA,NA,-94,-91,-71,NA,NA,NA,NA,NA,-88,NA,NA,NA,-94,NA,NA,NA,NA,NA,NA,NA
"121",-93,NA,-79,NA,NA,NA,NA,NA,NA,NA,-78,-78,-95,NA,NA,NA,-92,-91,-82,NA,NA,NA,NA,NA,-88,NA,NA,NA,-93,NA,NA,NA,NA,NA,NA,NA
"122",-93,NA,-79,NA,NA,NA,NA,NA,NA,NA,-66,-77,-94,NA,NA,NA,-92,-90,-77,NA,NA,NA,NA,NA,-86,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA
"123",-91,NA,-80,NA,NA,NA,NA,NA,NA,NA,-68,-77,-94,NA,NA,NA,-92,-90,-75,NA,NA,NA,NA,NA,-86,NA,NA,NA,-92,NA,NA,NA,NA,NA,NA,NA
"124",-94,NA,-76,NA,NA,NA,NA,NA,NA,NA,-69,-80,-94,NA,NA,NA,-92,-90,-78,NA,NA,NA,NA,NA,-90,NA,NA,NA,-95,NA,NA,NA,NA,NA,NA,NA
